long_name,overall,age,height_cm,weight_kg,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
zhi xiao,68,32,187,80,3,71,63,55,63,49,68,49,68,77,60,62,62,53,35,53,63,72,70,66,65,59,62,72,71,66,55,68,50,73,57,48,60,43,45,47,10,11,16,6,13,0
wolfgang hesl,68,31,186,87,1,0,0,0,0,0,0,9,14,12,23,8,12,13,15,22,20,36,40,42,68,47,19,67,29,73,12,25,19,11,33,23,45,11,14,17,68,67,52,68,69,38
petar zanev,68,31,180,70,2,59,51,60,65,67,70,72,42,65,61,36,65,47,37,61,63,41,74,69,62,70,63,82,71,66,65,75,67,58,53,31,59,69,66,66,6,15,15,16,10,0
thomas ayasse,68,30,183,75,2,58,52,63,55,63,79,59,41,61,66,44,48,64,52,62,62,55,61,60,69,62,63,86,93,74,66,72,66,60,66,54,70,60,64,61,13,11,14,9,15,0
gaetan deneuve,68,32,183,79,1,0,0,0,0,0,0,9,8,13,14,14,14,14,6,14,28,58,49,68,49,64,15,71,43,61,7,28,23,12,21,25,34,11,15,13,68,72,65,66,71,53
jonatan tollas nation,68,27,188,86,2,57,33,48,48,67,73,28,26,64,65,33,38,24,20,60,55,58,56,61,61,59,50,71,62,78,33,73,66,43,42,25,68,67,69,65,6,10,16,9,6,0
isaac vorsah,68,29,192,77,2,53,38,57,52,65,80,59,23,75,62,43,48,44,33,61,61,39,64,58,53,34,63,62,73,92,39,65,58,51,54,41,70,63,69,64,8,6,7,7,11,0
matteo rubin,68,29,184,75,2,76,43,60,60,64,75,70,27,57,63,33,56,67,68,57,63,72,79,71,62,62,68,75,82,73,55,73,66,48,42,45,70,61,67,65,13,15,6,6,15,0
jordan spence,68,27,187,77,2,76,41,59,65,66,70,65,28,66,65,28,66,50,45,63,66,75,77,64,52,67,64,64,77,69,47,64,64,55,47,39,57,65,67,67,6,15,11,15,8,0
norman theuerkauf,68,30,183,80,2,54,55,62,61,67,72,61,45,59,67,44,57,57,55,61,63,55,54,68,67,65,73,65,83,68,62,72,70,52,58,64,65,65,70,67,14,7,11,6,12,0
patrick fabian,68,29,193,92,2,50,22,41,41,69,68,40,18,68,51,27,31,38,29,41,55,35,63,41,60,34,31,32,41,83,15,73,68,15,30,44,54,69,70,69,16,16,6,8,6,0
michael zullo,68,28,170,63,3,80,51,64,72,63,64,71,53,45,68,58,70,62,46,56,70,79,81,85,66,88,41,87,69,58,49,67,63,63,59,59,65,65,65,66,11,7,10,9,6,0
rolf feltscher,68,26,184,90,2,60,49,64,61,67,76,72,32,59,65,49,62,69,49,59,59,56,63,59,66,59,70,71,78,78,67,70,70,49,59,39,59,69,67,65,10,14,12,16,7,0
kevin walker,68,27,177,72,2,56,62,67,65,60,70,68,56,44,68,60,61,72,71,65,67,58,54,68,68,76,70,74,81,59,67,81,65,64,65,63,64,54,67,64,14,11,16,9,6,0
matias sanchez,68,29,173,68,2,69,50,61,66,65,65,49,47,43,68,59,63,57,58,58,70,70,69,64,69,76,51,51,73,62,54,65,67,52,63,50,67,69,65,68,10,10,6,16,16,0
julien faussurier,68,30,173,70,2,66,54,69,61,66,76,75,52,58,69,48,53,59,49,69,68,67,66,74,65,74,53,83,93,68,57,73,61,69,70,62,66,68,68,67,6,14,10,13,7,0
chris basham,68,28,190,80,2,67,50,59,56,65,76,52,35,66,64,62,53,48,39,65,58,65,68,58,66,64,67,61,72,79,69,77,68,36,59,50,59,65,64,63,14,15,6,7,6,0
jay emmanuel thomas,68,26,191,85,4,71,69,64,67,33,70,65,65,63,63,67,70,49,68,63,68,67,75,62,57,41,77,53,63,82,68,55,31,65,67,77,72,25,33,31,8,8,14,12,14,0
jin hyung song,68,29,175,65,4,77,62,68,68,60,58,65,62,56,68,58,66,64,71,63,67,75,79,78,64,79,63,38,66,52,59,67,52,64,73,67,63,62,64,63,14,14,7,8,13,0
luigi giorgi,68,30,186,75,2,67,61,69,67,57,73,74,55,60,70,60,67,64,66,65,71,63,70,58,66,56,72,60,78,71,61,75,59,67,69,63,69,54,56,60,11,7,12,14,9,0
idir ouali,68,29,176,70,3,88,59,60,72,29,57,62,53,49,62,60,72,65,61,52,68,90,87,84,62,80,70,68,72,54,62,41,31,57,59,54,62,27,26,17,14,7,7,10,11,0
mihail aleksandrov,68,28,180,74,3,78,62,62,70,53,61,67,66,40,65,55,70,53,66,63,70,75,81,73,64,71,63,51,78,58,63,48,40,60,50,31,63,58,59,54,14,10,12,8,9,0
jan koprivec,68,28,185,81,1,0,0,0,0,0,0,15,19,9,22,10,18,16,11,33,23,51,49,48,60,40,28,66,26,61,17,27,20,10,32,21,38,13,12,14,68,65,59,69,72,50
adil auassar,68,30,187,86,2,41,64,67,61,63,80,64,54,65,69,33,61,64,64,69,67,42,41,50,64,53,85,62,76,84,72,80,64,61,65,64,67,60,66,58,12,7,9,11,14,0
juan carlos blengio,68,37,185,85,2,33,39,49,41,69,66,42,32,71,51,31,29,45,44,49,50,35,32,56,63,51,53,77,34,80,39,66,68,45,53,52,49,71,67,65,14,12,14,15,8,0
even hovland,68,28,191,90,2,70,23,44,42,66,75,33,20,65,51,14,30,22,23,59,58,64,74,45,65,42,30,71,62,88,26,60,71,30,42,15,55,62,69,63,9,6,13,12,7,0
byron webster,68,30,191,88,2,56,39,44,47,64,79,24,35,67,59,25,41,31,42,54,57,58,55,46,53,33,44,65,62,88,44,82,60,38,34,49,58,65,66,64,16,8,8,16,11,0
stephan andrist,68,29,176,68,3,85,64,62,69,45,59,67,63,46,63,64,66,70,59,52,70,83,86,81,60,79,68,58,78,47,63,66,46,65,60,54,60,44,47,39,1,1,1,1,1,0
tim breukers,68,29,182,76,2,68,48,59,60,67,71,62,40,62,61,53,59,58,46,57,59,65,71,64,67,65,64,70,85,66,49,66,68,53,56,45,69,64,69,69,6,15,16,14,11,0
jimmy ryan,68,28,180,67,2,66,60,65,69,60,73,60,54,37,68,49,66,61,65,62,68,67,66,87,65,81,69,72,82,71,68,67,58,62,69,50,80,61,66,65,16,14,10,8,14,0
jose carvallo,68,31,183,82,1,0,0,0,0,0,0,13,10,12,24,14,20,13,20,24,19,52,54,46,64,55,24,52,30,45,16,43,22,13,23,13,50,16,12,13,73,67,69,68,61,53
shea salinas,68,31,178,68,3,80,58,66,67,57,58,69,56,55,65,55,68,74,65,62,66,83,77,74,63,62,62,49,78,51,59,52,59,59,67,50,53,53,59,56,9,13,8,8,9,0
anil karaer,68,29,185,76,2,72,56,62,67,65,73,68,59,66,65,22,66,62,34,63,68,72,72,70,68,70,65,65,73,74,57,74,63,38,57,42,59,65,68,61,15,9,7,15,11,0
vincenzo sarno,68,29,167,63,4,83,57,64,75,28,59,60,54,46,66,65,74,72,70,60,72,86,81,90,64,93,61,71,72,54,56,50,28,56,62,60,68,18,32,26,7,11,13,14,8,0
kenneth kronholm,68,31,189,85,1,0,0,0,0,0,0,10,9,9,24,7,11,9,10,21,20,29,42,30,67,38,23,67,35,77,8,30,12,9,44,18,45,7,8,9,71,65,61,65,67,36
david pisot,68,29,186,82,2,70,50,56,61,66,74,58,44,65,59,49,56,48,42,58,68,64,74,66,62,59,59,80,73,76,51,70,64,43,52,69,65,63,70,68,10,8,8,7,16,0
william yarbrough,68,28,187,73,1,0,0,0,0,0,0,12,17,14,32,15,18,14,12,35,21,59,56,40,67,46,25,75,34,75,16,29,12,16,52,22,69,12,15,14,67,62,70,68,68,57
ho jun kim,68,33,190,89,1,0,0,0,0,0,0,10,13,13,31,10,16,11,14,32,15,54,51,53,66,56,12,50,23,68,12,21,24,11,10,17,41,10,10,14,68,66,67,67,68,52
hyung min shin,68,30,182,77,2,68,61,67,63,64,74,68,46,58,67,66,63,73,67,62,62,67,68,63,70,61,81,77,86,71,70,64,67,66,69,68,66,67,63,61,9,15,7,12,9,0
anton sosnin,68,27,178,72,2,70,51,66,62,69,60,62,44,58,76,62,58,52,57,68,65,76,65,72,54,74,60,46,67,60,56,56,72,46,55,51,62,66,73,69,13,7,10,7,9,0
richard ruiz,68,31,175,72,2,75,58,66,68,63,72,68,51,61,64,51,68,63,65,69,67,77,74,73,70,68,65,51,73,75,66,68,61,60,64,67,52,62,66,64,10,10,13,7,14,0
yannis tafer,68,26,181,67,2,77,66,64,69,35,56,66,68,54,65,58,70,70,67,57,68,75,79,74,62,71,68,61,64,57,62,44,47,65,64,67,61,25,33,25,11,6,13,15,14,0
krzysztof janus,68,31,176,70,2,74,62,62,69,51,61,66,61,55,65,57,69,58,42,59,65,76,73,78,68,80,61,75,70,57,64,55,52,66,60,65,63,47,54,51,14,10,11,10,14,0
fredrik gulbrandsen,68,24,175,75,2,84,65,52,73,37,73,58,65,56,59,55,72,65,45,39,74,85,83,85,55,73,73,80,82,69,62,72,43,63,43,52,63,39,29,19,15,6,9,7,15,0
abdoul karim yoda,68,28,182,73,4,84,61,61,72,50,62,68,63,50,65,46,75,55,49,49,72,79,88,74,55,62,71,78,49,66,53,64,44,58,60,49,59,55,47,56,12,15,14,11,6,0
mark birighitti,68,26,189,84,1,0,0,0,0,0,0,12,11,11,29,15,13,12,11,17,16,46,50,67,59,41,19,67,32,62,12,33,23,9,33,14,31,11,14,14,70,65,64,67,73,48
alessandro tuia,68,27,184,74,2,64,34,46,43,68,70,36,22,68,55,30,32,36,40,43,50,66,62,59,62,56,58,80,64,77,40,56,67,25,46,29,56,66,70,70,5,15,12,10,11,0
liban abdi,68,28,182,72,4,76,66,61,70,42,63,59,59,51,63,60,71,62,50,55,69,78,74,77,65,58,74,55,74,59,77,63,43,64,65,57,62,28,52,44,8,10,9,10,12,0
bruno caldini perone,68,29,191,85,2,55,36,53,50,67,73,32,28,72,61,19,49,63,27,73,55,53,56,37,55,58,55,63,58,84,33,68,69,52,51,51,60,65,68,64,14,8,12,12,16,0
dries wuytens,68,26,183,80,2,44,26,52,51,68,70,48,22,67,61,19,37,30,30,68,67,53,36,57,65,62,35,82,65,74,24,61,73,34,39,41,61,67,66,67,10,16,14,13,6,0
fabio alves macedo,68,32,170,68,3,73,54,62,72,63,74,62,56,56,65,45,72,68,39,60,70,75,72,76,68,83,50,67,75,68,53,87,68,61,62,60,76,60,65,64,9,13,13,7,8,0
eloi amagat arimany,68,32,180,72,3,45,61,67,70,55,66,55,63,44,73,41,71,74,61,71,73,55,37,66,57,59,62,50,67,67,58,68,60,58,65,66,55,45,65,55,14,6,9,13,15,0
jimmy nirlo,68,28,184,85,2,66,60,60,61,70,72,60,59,70,63,53,59,48,52,60,63,68,65,67,62,62,66,75,73,72,65,70,71,56,60,45,62,70,70,69,7,9,12,13,15,0
luke devere,68,27,186,88,2,60,41,49,44,67,73,32,35,59,63,31,32,21,36,54,57,53,66,50,60,49,56,70,56,85,44,65,70,35,50,47,67,66,69,66,10,8,13,12,7,0
raul llorente raposo,68,31,168,69,2,84,38,54,63,64,69,63,24,57,55,38,59,55,30,56,63,84,84,75,55,90,66,81,82,59,39,74,62,55,46,32,46,65,65,72,10,14,10,6,9,0
kevin conboy,68,29,185,77,2,67,51,63,63,66,75,71,40,61,66,42,61,68,66,57,62,67,67,76,66,64,80,77,73,73,53,84,62,56,54,38,64,68,67,67,11,8,15,6,9,0
marc pedersen,68,27,184,87,2,68,38,56,54,63,83,60,34,66,57,33,52,41,25,61,56,65,71,50,67,61,63,83,77,85,23,83,61,47,59,39,55,60,66,66,6,9,13,9,15,0
nicolas giani,68,31,182,81,2,55,38,34,46,69,71,31,31,64,42,32,41,31,32,42,49,55,55,43,61,62,42,73,60,76,42,71,66,51,20,55,60,72,70,68,5,11,41,7,21,0
darko bodul,68,28,186,81,3,66,66,64,70,28,70,63,62,66,70,69,71,54,68,64,71,67,66,72,61,59,73,74,71,74,70,58,24,63,57,60,63,23,24,27,7,11,10,9,11,0
andrew shinnie,68,27,180,70,3,61,57,68,71,44,61,61,58,61,72,45,70,53,58,73,71,60,61,77,59,73,56,70,66,56,56,65,47,66,70,61,69,30,49,45,7,9,12,13,7,0
christopher telo,68,27,172,69,2,78,44,63,71,58,68,63,32,37,66,46,70,66,63,63,67,79,78,83,61,86,59,80,86,58,53,66,68,50,57,49,69,58,58,62,8,11,15,7,7,0
urtzi iriondo petralanda,68,22,169,60,2,77,53,60,64,67,61,70,47,64,65,54,59,65,45,56,64,75,78,75,69,81,70,70,58,58,49,70,61,49,48,49,56,70,69,67,15,9,15,7,14,0
manuel schaffler,68,28,189,84,2,70,68,48,58,27,78,50,69,68,53,62,54,47,44,37,62,71,70,66,66,58,73,70,71,85,62,70,42,71,49,62,69,15,19,14,12,8,9,8,12,0
maciej wilusz,68,28,188,85,2,53,44,56,40,67,72,48,41,62,64,32,33,42,46,57,42,54,52,53,72,44,54,82,57,83,43,62,69,43,54,38,65,68,67,66,16,14,10,16,10,0
mirko eramo,68,27,181,75,3,68,59,65,68,56,68,60,51,63,70,45,66,68,58,69,69,68,68,76,65,74,70,77,72,62,72,74,64,64,61,53,63,40,62,60,5,9,9,15,8,0
lamine gassama,68,27,181,74,2,73,39,61,64,65,73,69,35,58,66,32,62,54,43,60,64,71,74,76,64,68,47,66,77,70,36,79,64,48,52,59,60,67,68,63,15,6,7,13,6,0
mame ousmane cissokho,68,30,175,68,3,74,53,66,63,38,67,80,61,52,64,33,63,79,36,59,61,74,74,67,69,61,36,59,71,69,50,61,44,69,67,58,62,40,27,34,7,6,6,15,15,0
adailton dos santos da silva,68,26,176,75,3,72,67,59,73,27,73,60,67,56,62,53,74,57,65,53,69,69,75,89,64,67,73,72,73,77,66,62,24,62,56,69,60,34,13,22,11,15,14,15,9,0
diego de buen,68,25,182,79,3,64,65,66,63,66,74,60,55,58,69,68,60,65,67,66,68,65,64,64,67,66,83,60,82,74,70,65,69,52,69,70,68,66,68,66,6,10,15,13,13,0
thomas fontaine,68,26,184,83,2,77,24,52,37,64,72,61,18,66,66,19,18,26,29,49,59,75,79,38,71,64,38,79,60,80,17,64,72,40,35,31,61,59,61,65,9,13,7,8,7,0
chris pontius,68,29,183,77,3,65,67,64,68,54,71,64,64,70,66,60,68,66,60,61,67,62,68,68,71,68,75,77,75,70,66,67,47,69,64,66,68,54,58,43,13,12,14,9,13,0
sam cronin,68,30,178,75,3,62,61,66,63,63,72,62,55,58,71,57,59,63,45,68,66,57,66,64,67,73,71,74,80,67,64,74,66,62,65,61,70,65,62,60,16,9,7,13,12,0
stefan frei,68,31,191,88,1,0,0,0,0,0,0,15,17,12,32,14,18,10,15,33,19,43,45,51,68,58,23,78,30,70,12,39,15,12,50,20,33,17,20,12,69,59,63,69,73,44
rodney wallace,68,29,182,75,3,77,63,63,67,57,72,65,63,63,63,56,65,69,49,56,66,78,77,74,66,72,66,73,87,64,60,74,60,67,66,59,65,55,55,55,11,12,15,15,16,0
gaston sauro,68,27,190,84,2,52,33,49,52,66,75,34,26,65,64,14,51,25,44,63,56,52,52,43,60,41,57,79,62,79,30,78,66,27,36,44,55,66,67,64,11,12,14,9,8,0
sandro sirigu,68,28,183,79,3,87,55,62,69,61,69,69,57,59,66,49,71,53,41,57,66,85,88,69,67,68,62,64,81,68,43,58,56,68,57,42,63,61,65,62,6,14,10,8,13,0
marvin pourie,68,26,185,86,3,76,63,56,64,22,76,54,65,63,62,61,64,42,46,49,66,74,77,58,71,61,73,75,83,74,50,74,35,68,57,62,62,12,12,13,7,11,11,7,12,0
sean johnson,68,28,190,98,1,0,0,0,0,0,0,13,12,14,34,17,19,13,19,32,20,42,43,44,67,52,23,69,35,65,20,30,18,13,14,16,36,13,15,15,72,61,60,62,75,43
parfait mandanda,68,27,182,78,1,0,0,0,0,0,0,11,10,14,23,13,11,15,14,20,22,48,46,58,65,42,22,75,18,63,18,23,17,11,32,14,46,14,18,16,71,65,67,63,71,47
marc hornschuh,68,26,188,82,2,60,40,59,58,68,68,62,36,71,66,35,57,43,33,61,63,54,65,55,66,45,42,77,72,68,46,59,66,40,54,40,63,70,68,66,13,10,15,14,10,0
gaston cellerino,68,31,185,80,2,57,69,49,60,35,74,43,72,68,54,58,57,48,48,34,64,58,56,67,60,46,77,65,65,82,57,69,30,72,56,72,60,27,39,23,16,15,8,11,7,0
etzaz hussain,68,24,176,69,3,71,63,66,69,57,64,58,61,49,69,62,68,69,63,65,68,75,68,78,63,79,69,66,77,54,60,73,63,70,68,65,58,50,59,64,10,16,15,8,6,0
luciano civelli,68,30,187,84,3,72,64,66,66,64,74,67,62,61,68,52,67,61,61,60,66,73,71,58,67,61,68,45,76,78,67,71,66,66,68,64,55,63,65,62,11,16,7,16,16,0
khaleem hyland,68,28,183,87,2,58,61,63,67,65,78,57,49,67,67,57,68,49,64,65,69,62,55,57,66,66,80,75,70,85,70,73,66,64,64,55,70,60,69,66,7,12,13,8,9,0
jesus isijara,68,27,172,68,2,73,63,62,68,39,67,64,63,52,71,46,68,55,47,62,70,69,76,72,66,52,66,70,75,69,65,49,34,66,50,58,59,36,43,35,13,9,15,8,11,0
soren brandy,68,32,183,79,2,75,65,63,68,29,77,66,67,60,66,61,68,60,55,56,66,73,77,72,67,68,71,84,80,74,60,80,22,67,63,49,68,22,31,31,7,7,16,11,7,0
abdullah al zori,68,29,182,74,2,75,41,53,63,65,79,67,40,67,58,26,58,36,23,45,69,75,75,71,59,66,51,87,79,81,36,70,59,67,50,28,55,66,68,66,11,6,7,10,7,0
ahmed mohammed al fraidi,68,29,172,76,4,57,63,66,72,52,65,63,66,54,69,56,72,68,63,65,70,61,54,82,64,67,61,64,65,64,59,66,51,65,67,55,70,43,60,55,14,13,14,13,13,0
kyohei noborizato,68,26,168,68,3,87,56,58,72,59,65,63,49,50,57,54,70,67,54,52,69,86,87,90,70,78,68,79,85,58,61,56,57,62,58,49,60,60,61,64,11,7,7,7,7,0
leandro montera da silva,68,32,176,70,3,53,69,61,66,36,53,56,69,72,69,69,64,51,42,53,68,56,50,63,69,68,71,71,35,54,67,67,34,71,67,69,71,23,41,29,15,6,12,6,7,0
bruno martins teles,68,31,183,77,2,67,57,68,68,66,73,68,49,68,69,22,68,69,69,67,70,68,67,60,68,63,76,77,70,76,69,68,66,65,64,32,68,65,68,63,12,12,15,9,9,0
chikashi masuda,68,32,179,75,2,68,58,67,64,60,72,59,52,43,71,33,62,67,65,65,67,70,67,64,72,66,66,69,76,70,69,73,70,70,70,52,65,62,59,57,16,7,7,15,12,0
yasushi endo,68,29,168,69,3,59,62,71,67,38,63,74,66,63,71,47,63,70,75,71,66,51,65,80,72,83,60,77,73,58,58,59,42,72,65,54,70,39,31,25,13,15,9,14,13,0
evgeniy makeev,68,27,183,73,2,77,52,62,68,67,67,65,46,67,65,66,66,59,46,59,71,76,77,68,64,70,56,71,65,64,53,74,71,68,62,61,67,64,66,66,8,10,8,6,8,0
rhyan grant,68,26,174,74,2,73,59,62,65,64,76,63,54,52,65,42,63,56,51,59,65,74,72,74,62,73,67,78,91,70,66,70,65,62,60,56,63,64,66,63,16,15,16,7,10,0
pedro miguel barbosa queiros,68,32,180,73,2,69,46,61,65,67,69,67,44,57,63,41,64,50,39,61,65,68,69,63,69,71,52,71,65,70,45,71,70,55,58,37,67,69,67,68,10,10,10,7,6,0
magno damasceno santos da cruz,68,29,174,74,4,66,68,65,72,39,57,63,68,58,66,61,74,72,74,61,75,70,63,61,65,71,68,54,62,56,66,53,48,72,62,80,62,34,35,29,9,7,14,7,11,0
viktor lundberg,68,26,187,79,2,59,67,61,66,39,74,62,66,66,62,59,65,70,67,62,67,63,56,69,67,65,72,63,84,69,66,75,33,72,54,61,69,34,40,34,14,13,16,6,12,0
murray davidson,68,29,183,69,3,74,59,62,68,61,77,54,58,68,68,29,66,43,64,63,67,78,70,84,72,54,68,82,91,73,60,69,51,67,65,54,68,63,64,61,7,10,12,7,16,0
jesus fernandez collado,68,29,190,83,1,0,0,0,0,0,0,13,16,15,17,16,14,13,13,26,13,49,46,34,67,42,22,66,38,68,14,24,23,15,35,21,40,13,12,14,69,73,57,62,65,47
lee novak,68,28,183,78,2,68,68,60,65,42,78,62,66,67,59,63,63,61,59,51,66,65,71,67,65,68,72,82,86,76,69,72,45,67,65,70,67,37,40,30,11,9,9,13,8,0
steven de sousa vitoria,68,30,195,86,2,42,56,52,47,64,80,37,47,66,60,41,42,70,70,54,58,33,49,33,69,34,76,30,66,92,63,79,65,21,43,76,71,63,64,64,14,7,8,6,6,0
mohammed abubakari,68,31,178,75,2,61,50,61,63,61,77,48,40,45,66,48,57,59,55,65,65,64,59,72,72,76,65,66,80,73,58,86,65,44,63,61,74,58,66,63,6,14,13,11,13,0
gerrit nauber,68,25,186,75,2,53,36,40,40,69,74,35,33,71,54,34,31,26,28,46,43,55,52,60,52,60,46,85,71,76,39,70,67,21,22,37,48,70,71,66,12,7,14,14,11,0
sambou yatabare,68,28,190,82,2,68,64,63,69,62,79,58,64,57,66,47,71,59,58,65,70,69,68,66,63,52,70,66,77,80,62,84,67,66,64,64,64,60,65,58,6,6,10,9,13,0
gaetan charbonnier,68,28,188,80,3,42,72,63,69,35,64,52,73,72,71,66,68,57,58,53,72,34,49,70,60,61,74,48,60,78,68,39,28,73,71,71,75,31,39,13,11,13,11,8,16,0
sergey terekhov,68,27,180,74,3,66,57,57,64,66,58,67,52,53,61,52,63,43,51,56,65,67,65,58,67,71,60,58,72,59,63,38,73,55,46,69,54,58,71,72,7,8,14,9,11,0
archimede morleo,68,33,172,68,2,71,54,67,68,64,63,74,44,52,70,44,66,72,63,68,68,80,63,71,68,80,70,71,64,58,64,70,72,60,54,50,74,61,63,67,12,9,14,8,14,0
milan duric,68,27,199,94,2,54,67,53,55,28,79,55,68,75,60,64,55,54,53,43,65,53,54,34,68,31,72,62,71,92,60,59,30,69,46,66,64,18,22,20,7,5,13,10,8,0
grzegorz kuswik,68,30,181,75,3,74,65,58,66,31,70,59,68,69,67,61,66,55,37,59,67,70,78,67,53,68,67,90,81,71,59,50,36,72,48,56,63,23,26,24,15,13,15,8,13,0
ross draper,68,28,196,87,3,62,56,59,62,64,85,41,57,68,66,30,64,57,57,61,65,63,61,47,64,54,58,70,82,91,58,76,68,63,66,57,74,61,65,61,13,12,8,14,11,0
stephan salger,68,27,183,76,2,73,38,61,61,66,71,68,30,62,65,34,58,50,42,65,62,74,73,68,63,65,54,73,70,73,38,68,65,49,49,39,60,66,69,65,14,14,16,13,10,0
thiago cardoso,68,25,185,82,2,54,36,45,49,66,69,34,25,65,58,21,45,50,47,45,50,53,54,56,64,58,61,77,47,79,39,70,68,32,33,40,63,67,66,64,16,6,12,7,10,0
neil etheridge,68,27,191,89,1,0,0,0,0,0,0,11,13,11,31,11,21,18,18,21,32,51,53,54,62,58,24,42,34,76,11,16,24,18,46,43,65,12,14,13,72,63,62,64,72,52
christoph schosswendter,68,28,193,78,2,54,27,41,37,67,79,27,24,80,56,18,26,17,21,49,53,53,55,36,53,34,40,66,79,85,23,69,65,26,32,36,54,64,70,62,16,12,13,16,6,0
patrick farkas,68,24,177,73,2,83,60,62,66,62,71,66,57,58,65,39,65,67,38,64,64,81,85,76,54,76,75,70,86,64,63,71,59,54,56,35,63,62,64,64,12,13,12,9,14,0
philipp klingmann,68,29,180,83,2,63,46,61,63,69,69,68,39,64,66,46,62,51,56,59,64,65,62,62,59,64,61,66,72,71,46,63,66,48,51,46,58,69,71,70,7,7,7,12,9,0
jorg siebenhandl,68,27,183,81,1,0,0,0,0,0,0,13,11,14,31,10,13,10,10,20,25,45,48,61,65,59,33,80,38,66,27,22,22,13,48,15,28,20,11,10,68,65,70,66,70,47
dominik schmidt,68,30,187,78,2,70,34,53,53,66,75,46,24,67,58,31,48,48,35,62,56,66,74,62,57,64,56,80,67,76,31,82,63,41,49,39,59,63,68,70,12,10,15,6,10,0
guus hupperts,68,25,176,75,3,76,61,60,72,43,63,62,57,58,60,60,72,56,55,53,72,73,78,75,66,72,70,63,68,64,62,52,45,67,66,51,60,39,41,37,10,9,15,7,14,0
baris basdas,68,27,188,79,2,59,34,44,47,68,71,31,30,71,59,19,42,36,38,44,54,56,61,45,65,42,50,69,63,73,32,75,65,26,35,43,52,68,70,63,13,16,11,12,9,0
lalaina nomenjanahary,68,31,177,76,2,80,56,63,69,53,57,66,61,47,64,53,69,56,52,61,67,82,78,71,67,71,45,63,72,52,59,50,58,62,63,39,58,50,55,55,14,10,11,10,15,0
lerin duarte,68,26,168,65,3,56,67,71,70,54,61,73,61,53,70,66,70,80,73,69,71,57,55,65,66,78,76,63,48,67,71,64,62,67,70,67,66,47,57,55,11,16,10,9,8,0
alfredo kulembe ribeiro,68,27,170,68,4,89,62,59,72,19,60,65,61,45,58,60,70,65,61,51,67,89,89,89,65,86,65,66,72,57,59,53,20,56,60,70,69,13,17,16,10,13,15,16,7,0
tyler deric,68,28,191,84,1,0,0,0,0,0,0,15,13,18,33,14,14,12,16,29,13,32,34,42,64,43,12,52,26,55,13,22,13,13,38,20,23,12,20,19,65,63,66,67,77,33
eduardo ramos gomez,68,25,177,67,3,66,51,68,61,58,66,57,46,34,78,37,52,48,53,74,70,65,67,72,63,74,66,54,73,66,49,61,66,56,64,48,58,53,66,61,15,6,9,14,9,0
asier villalibre molina,68,19,183,82,2,74,66,48,67,25,72,34,67,70,55,65,68,53,36,45,65,72,75,72,60,65,77,75,60,81,55,62,31,62,52,70,58,13,19,18,13,15,15,12,14,0
marco calderoni,68,28,183,75,2,82,50,54,62,64,77,63,41,61,59,30,60,41,37,55,58,76,86,76,65,69,67,85,82,76,61,73,64,35,41,49,63,64,65,66,12,8,13,10,11,0
marc vidal,68,26,183,83,1,0,0,0,0,0,0,15,14,13,31,13,14,12,14,27,17,38,32,55,55,62,23,55,25,72,17,21,21,11,27,16,42,13,13,15,69,68,68,69,67,35
alberto escassi oliva,68,28,185,78,2,53,41,62,63,65,72,55,36,65,75,36,57,47,60,61,71,58,48,68,69,62,46,69,76,71,43,70,71,50,53,49,57,61,65,62,16,11,8,7,7,0
james collins,68,26,188,86,2,72,67,48,63,26,79,35,69,72,53,62,63,61,61,49,62,70,73,70,65,54,68,85,81,83,63,64,32,62,46,64,63,15,19,18,7,15,11,11,13,0
max grun,68,30,190,86,1,0,0,0,0,0,0,16,16,12,27,20,11,10,13,26,15,51,50,49,67,42,19,73,38,76,12,44,15,11,14,16,56,11,14,13,70,66,64,68,67,50
francesco signori,68,28,179,74,2,78,56,66,63,65,78,58,52,56,72,59,59,62,54,67,63,80,77,80,65,71,59,75,86,75,59,74,63,73,65,49,69,63,72,66,8,5,13,5,9,0
jan gregus,68,26,189,70,3,72,65,68,66,55,69,64,59,61,72,61,66,67,64,68,68,70,73,64,61,62,73,61,71,66,71,78,54,67,67,59,55,51,57,53,8,7,13,7,6,0
veysel sari,68,28,184,76,3,68,54,59,67,66,74,68,40,71,65,38,68,54,42,60,70,69,67,62,65,60,75,66,75,75,69,71,66,65,44,48,56,63,67,64,16,12,10,11,12,0
antonio mazzotta,68,27,183,73,2,74,46,57,63,65,68,65,27,60,64,63,61,63,44,60,64,75,74,63,68,73,64,62,78,62,59,71,64,49,36,67,65,64,67,67,12,14,6,7,12,0
