,long_name,overall,age,height_cm,weight_kg,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
11418,conor mcgrandles,64,25,185,64,2,69,56,62,65,58,70,59,57,50,67,39,64,50,40,65,65,71,67,74,61,61,58,71,85,65,55,62,60,59,62,52,59,64,55,48,15,13,8,10,15,0
11419,david sambissa,64,25,177,70,2,72,47,53,65,60,60,63,45,45,55,38,66,45,42,41,67,70,74,63,56,72,51,60,58,57,46,69,58,55,51,46,54,64,62,63,14,7,11,15,12,0
11420,vlad achim,64,32,182,80,2,54,59,64,61,63,71,61,58,57,67,52,58,57,58,64,62,53,55,64,63,69,61,74,75,72,61,61,64,56,64,65,65,62,64,63,7,12,13,8,11,0
11421,aaron collins,64,24,185,74,3,82,61,58,64,35,73,56,62,59,59,57,63,57,57,56,62,81,82,73,60,70,64,62,84,73,57,63,27,62,60,58,58,38,32,25,14,12,13,16,12,0
11422,maurice litka,64,25,180,67,3,77,59,57,67,36,47,64,58,39,62,48,66,60,40,34,66,81,74,80,57,75,63,62,62,40,60,43,26,58,64,52,48,45,35,29,15,13,11,7,9,0
11423,terell thomas,64,25,183,71,2,61,40,57,58,63,72,56,34,64,62,37,56,40,37,56,60,63,60,55,59,62,65,78,72,73,30,66,62,31,58,39,57,63,64,64,7,10,15,8,13,0
11424,justin eilers,64,33,187,77,3,79,65,56,65,33,64,58,63,47,61,63,65,59,33,50,64,82,77,66,65,68,70,66,62,67,64,58,39,62,57,74,68,32,28,22,6,10,12,13,9,0
11425,dominic baumann,64,26,178,82,3,68,62,53,62,28,72,49,61,65,59,53,60,51,32,48,62,66,69,67,60,78,75,90,61,81,55,61,23,65,55,60,48,28,21,23,16,15,8,9,12,0
11426,marcos ledesma,64,24,191,81,1,0,0,0,0,0,0,20,12,20,28,18,12,21,14,25,19,54,46,38,64,40,45,60,30,56,13,32,22,20,23,31,48,30,18,14,68,61,60,62,62,51
11427,boubacar barry,64,25,182,73,3,78,53,60,69,56,61,61,56,42,64,54,69,60,49,54,68,76,79,78,62,76,48,64,71,59,51,53,56,59,59,53,57,57,59,56,14,11,14,8,10,0
11428,victor adeboyejo,64,23,178,63,3,74,61,49,65,26,67,43,63,59,58,54,65,42,34,42,62,73,74,72,64,74,65,74,68,72,56,52,17,62,49,57,51,32,19,18,12,9,13,11,10,0
11429,david mendoza,64,36,180,77,2,58,34,51,57,63,69,55,32,59,56,29,56,45,29,58,57,59,58,57,67,65,35,63,65,73,35,65,68,49,40,36,48,56,67,69,8,6,11,16,14,0
11430,mario lopez quintana,64,25,184,81,2,59,30,40,40,64,71,35,18,69,50,30,22,26,23,32,53,52,65,57,59,60,43,71,64,78,37,64,62,38,41,41,52,63,67,58,12,6,10,12,10,0
11431,juan carlos zampiery,64,31,171,66,2,63,33,53,51,60,54,62,33,37,64,27,46,22,25,61,53,65,61,52,55,72,30,64,83,41,27,50,55,51,35,47,54,62,66,67,12,9,14,14,10,0
11432,cristhian coimbra,64,32,177,73,2,59,31,38,49,70,62,32,31,60,52,22,46,34,36,43,50,62,56,40,48,71,23,65,71,61,37,54,70,32,17,53,63,67,76,69,14,13,14,8,11,0
11433,ryan hardie,64,24,188,75,3,86,62,46,63,24,62,39,65,56,56,54,60,38,27,42,63,83,88,71,62,69,63,70,73,70,56,27,18,65,45,59,61,22,21,18,12,9,10,7,15,0
11434,fejsal mulic,64,26,203,84,3,75,63,42,56,28,78,47,65,64,49,50,62,39,37,30,58,69,80,42,56,30,73,35,62,92,58,74,28,59,36,51,49,29,19,13,12,8,11,13,7,0
11435,ryan sweeney,64,24,193,87,2,58,34,50,53,61,80,51,32,61,55,26,51,39,33,51,51,64,53,55,56,62,46,70,75,85,30,74,60,35,44,32,57,60,64,61,8,14,7,10,9,0
11436,clement depres,64,26,188,80,3,37,67,51,60,30,58,42,67,70,65,61,63,46,51,43,65,41,34,34,59,50,71,71,32,78,62,37,14,66,45,68,61,34,26,22,7,12,10,12,11,0
11437,jonathan tamimi,64,26,178,75,2,73,43,54,63,56,65,60,36,48,58,45,63,62,49,54,63,71,74,71,60,71,60,72,82,60,46,56,55,43,42,33,49,60,55,57,9,10,9,15,7,0
11438,jin feng,64,27,179,72,2,75,58,58,64,41,70,58,58,51,58,55,65,60,43,56,59,84,67,73,60,80,63,78,77,67,58,66,36,64,63,42,56,52,34,33,11,11,8,12,11,0
11439,pablo claveria herraiz,64,25,180,75,2,65,60,58,62,63,72,38,57,49,63,58,60,59,59,60,62,67,64,67,67,67,68,75,79,68,61,73,70,66,65,41,60,61,66,58,8,16,10,8,15,0
11440,callum ainley,64,23,173,64,3,76,58,60,68,55,57,54,58,45,64,40,65,52,41,63,64,77,76,91,61,89,58,81,74,53,62,42,57,63,65,49,62,55,59,53,9,16,10,8,12,0
11441,santiago echeverria,64,31,183,80,2,60,23,40,38,67,66,48,21,65,50,25,35,26,27,36,31,60,60,44,63,46,31,58,56,75,19,60,67,20,23,35,59,68,67,64,13,11,16,15,16,0
11442,juan manuel ramos,64,24,179,72,2,64,35,53,65,60,63,65,29,49,56,29,64,41,33,45,66,65,63,67,63,64,42,60,63,59,37,73,61,59,51,38,62,60,64,61,7,11,9,10,14,0
11443,ferhad ayaz,64,26,178,73,3,75,55,57,69,33,56,57,55,34,60,51,70,63,50,53,66,77,73,83,56,75,54,57,52,61,58,48,23,62,57,48,65,36,35,37,7,7,12,8,7,0
11444,christos gravius,64,23,181,72,3,66,51,65,65,48,59,55,43,34,68,59,63,64,60,67,65,67,66,71,60,71,64,52,70,58,50,49,49,62,69,48,64,43,55,50,9,6,10,10,8,0
11445,min hyeok kim,64,1992/8/16,65,981,1,60,60,63,43,69,42,60,56,70,61,62,53,43,65,64,66,56,64,63,69,63,61,79,66,58,68,47,62,65,60,65,35,45,43,8,14,11,8,7,0,62+2
11446,sebastian ring,64,26,178,74,2,70,33,60,62,57,70,60,31,40,62,37,59,62,58,59,61,73,68,73,54,72,35,59,80,65,33,71,57,43,58,34,61,60,60,55,8,7,7,8,7,0
11447,jermaine hylton,64,29,178,73,3,84,58,55,64,21,53,61,61,52,61,49,64,45,34,39,63,83,84,76,58,66,53,62,53,57,59,41,13,57,60,55,55,19,20,15,11,13,7,13,12,0
11448,hector mascorro,64,24,169,68,2,80,56,58,65,47,57,58,55,53,64,39,64,45,46,62,64,81,80,84,60,69,64,61,70,50,57,59,43,55,49,52,48,29,61,59,7,6,10,6,8,0
11449,saad abdul salaam,64,29,193,84,2,73,28,54,59,60,75,55,21,64,60,22,63,33,30,52,59,66,79,56,57,48,47,78,72,81,22,65,61,47,54,31,46,57,62,60,9,8,10,12,11,0
11450,federico bonansea,64,23,185,78,1,0,0,0,0,0,0,12,14,21,31,15,26,27,23,30,27,40,42,39,57,45,43,63,43,62,13,35,22,17,33,24,36,11,16,20,69,58,57,62,67,41
11451,kevin van veen,64,30,185,90,3,51,67,58,62,25,72,59,65,66,55,64,62,63,68,56,64,50,52,62,58,52,76,76,70,81,64,53,19,66,60,62,59,29,13,18,19,17,15,13,14,0
11452,kaiyne woolery,64,26,181,78,3,83,60,57,65,19,57,61,62,55,61,44,63,60,52,50,62,85,82,82,57,74,62,61,78,56,59,33,14,55,50,60,57,17,14,15,12,7,13,7,7,0
11453,jodi jones,64,23,177,73,3,83,60,58,67,26,45,63,59,28,56,58,70,64,62,49,63,82,83,79,44,81,61,59,49,40,60,49,30,61,60,58,57,31,21,19,7,10,8,14,8,0
11454,henrik castegren,64,25,183,82,2,64,32,52,52,62,70,52,26,60,57,27,49,43,28,56,55,63,65,60,58,40,42,81,59,74,28,70,61,50,48,39,52,61,65,63,7,8,11,10,15,0
11455,john mccarthy,64,28,191,82,1,0,0,0,0,0,0,17,17,17,27,18,12,15,13,16,14,35,34,38,55,42,44,55,38,60,13,32,19,19,18,18,45,14,13,15,65,64,59,62,67,35
11456,regan hendry,64,23,176,73,2,71,58,63,65,58,63,57,56,48,65,46,63,60,56,64,65,68,73,76,62,77,61,73,77,58,59,56,57,59,65,61,60,59,60,56,14,13,7,7,12,0
11457,paul mcmullan,64,25,168,68,2,83,54,57,66,26,43,62,56,45,60,48,63,45,42,56,62,84,83,88,54,90,52,52,68,34,50,30,23,59,54,54,51,24,25,23,13,12,7,16,13,0
11458,markus nakkim,64,24,187,77,2,54,36,47,49,63,72,32,27,64,60,32,41,51,59,52,54,53,54,56,59,53,58,70,67,75,32,70,64,29,29,55,62,59,65,61,13,12,9,14,8,0
11459,joe powell,64,22,178,68,3,74,59,63,65,53,58,60,57,42,65,53,63,61,63,63,64,72,75,73,61,72,61,59,68,53,63,58,50,62,63,59,62,52,58,54,15,13,9,7,13,0
11460,cole alexander,64,31,182,71,3,78,64,64,65,58,69,62,66,52,68,54,63,54,55,67,65,81,76,70,60,74,70,84,80,66,55,60,58,59,62,69,60,60,60,49,10,11,6,11,14,0
11461,valtteri moren,64,30,188,76,2,30,27,43,45,68,65,32,25,65,55,19,32,33,40,54,52,30,30,53,61,61,38,32,58,70,21,67,70,23,29,42,68,69,66,65,7,16,6,10,10,0
11462,matheus savio,64,24,175,74,3,68,64,64,66,55,61,60,62,46,66,67,65,66,68,60,64,63,72,82,64,68,68,72,50,71,67,46,47,63,64,61,64,56,61,60,9,11,15,13,8,0
11463,joris kramer,64,24,187,76,2,52,34,41,51,63,68,25,21,62,50,34,45,41,34,51,58,43,60,54,58,50,58,76,53,74,34,72,60,34,34,46,54,65,65,62,6,8,7,11,12,0
11464,aaron hayden,64,24,186,79,2,67,30,43,52,63,76,26,26,64,54,24,49,38,26,49,52,67,67,57,59,54,41,72,73,82,27,68,61,33,43,42,55,63,64,62,8,10,13,14,8,0
11465,warren caddy,64,24,183,83,3,79,64,48,65,28,61,41,64,58,53,51,64,51,34,43,63,81,78,72,61,77,68,63,51,69,61,53,20,64,52,65,63,36,17,18,6,9,15,11,10,0
11466,jin hyuk kim,64,28,187,78,3,60,63,53,61,61,72,44,65,67,63,51,59,40,29,52,65,57,63,61,61,52,66,77,61,80,57,65,62,61,53,62,64,57,63,63,6,6,13,12,11,0
11467,rafik zekhnini,64,23,182,67,3,86,56,54,67,31,42,58,56,33,57,50,65,57,38,36,66,86,86,82,61,72,63,42,55,36,50,40,25,60,62,50,63,37,27,31,7,11,8,12,14,0
11468,ben stevenson,64,24,182,67,3,71,60,65,66,59,66,60,59,52,68,53,64,65,58,64,65,74,68,72,59,72,64,54,76,62,62,66,58,58,67,54,71,59,61,57,12,9,9,10,16,0
11469,elliott list,64,24,174,74,3,93,62,53,65,28,67,53,62,53,57,54,63,48,41,44,61,94,92,86,58,82,70,81,83,71,58,32,18,62,56,50,54,19,33,35,9,15,11,7,11,0
11470,jhojan valencia,64,24,172,75,2,69,50,60,66,58,62,49,46,39,70,36,64,36,36,63,66,70,68,75,59,79,54,75,75,58,56,54,56,52,61,50,55,63,61,60,6,12,6,8,10,0
11471,eirik wichne,64,24,174,69,2,78,42,60,60,58,67,60,34,44,63,37,55,53,49,65,62,80,76,74,60,75,60,59,73,66,38,62,56,53,53,45,47,63,58,56,11,13,13,12,15,0
11472,helge sandvik,64,31,183,75,1,0,0,0,0,0,0,21,15,17,24,20,22,20,21,29,28,34,46,41,63,57,47,53,43,59,20,21,22,8,32,20,42,8,19,22,62,64,63,62,62,39
11473,bart straalman,64,24,193,74,2,51,33,50,52,64,74,56,23,59,57,31,52,46,29,58,55,36,64,52,55,32,57,70,76,77,30,63,64,39,33,31,58,64,65,64,8,14,14,8,6,0
11474,sam lavelle,64,24,188,76,2,55,29,41,46,63,76,28,25,60,52,23,41,33,29,42,49,54,55,42,60,60,40,82,75,79,24,67,62,31,38,35,54,64,65,63,13,8,7,8,15,0
11475,ahmet engin,64,24,180,75,3,79,53,56,65,38,57,58,54,41,60,48,65,46,52,46,62,78,79,75,64,75,57,64,75,53,43,45,25,58,59,59,58,57,34,19,11,13,14,6,12,0
11476,soren reese,64,27,186,79,2,53,39,49,49,64,71,45,35,67,60,44,41,38,25,57,55,52,53,53,60,56,53,70,64,77,35,64,61,36,35,30,55,63,65,63,9,15,15,13,10,0
11477,ozan ozenc,64,28,190,85,1,0,0,0,0,0,0,13,15,11,26,17,13,12,14,17,22,42,56,33,59,45,47,67,22,73,17,18,21,16,24,22,50,20,12,19,62,63,62,65,66,48
11478,ryan broom,64,24,177,80,3,82,59,61,66,55,62,60,61,48,63,47,64,58,50,60,63,84,81,82,58,80,59,56,73,59,57,55,54,62,61,55,60,58,55,52,15,7,10,8,10,0
11479,oscar vaca,64,32,177,67,2,67,34,50,58,63,54,70,34,47,55,35,57,40,36,27,59,72,63,61,58,65,29,72,61,43,33,66,63,46,42,41,46,65,69,58,6,5,9,7,11,0
11480,sebastian musiolik,64,25,193,88,3,85,61,47,61,25,70,35,63,61,58,52,60,44,28,45,61,82,87,70,56,73,67,71,77,81,54,34,19,62,48,60,54,28,15,20,15,9,12,12,7,0
11481,frederik lauenborg,64,24,181,80,2,66,54,61,65,64,69,53,52,55,68,50,63,55,48,64,66,65,67,71,65,75,62,63,74,70,52,64,64,57,60,46,64,65,65,62,12,6,9,8,14,0
11482,marco lund,64,25,183,87,2,54,36,50,55,65,69,32,23,58,63,27,47,58,59,58,64,62,48,57,60,66,56,81,65,74,50,57,64,35,35,30,55,68,65,62,9,12,7,12,6,0
11483,alessandro deiola,64,25,189,85,2,59,63,60,61,60,68,48,58,52,68,68,62,52,42,64,66,62,56,51,65,32,73,54,58,72,68,74,55,66,60,34,62,64,65,55,13,10,9,12,8,0
11484,steffen nkansah,64,25,188,78,2,66,30,45,48,66,68,40,27,66,58,20,42,31,30,43,50,61,70,59,60,59,42,61,70,72,25,55,66,36,35,40,50,62,69,66,10,10,8,6,14,0
11485,conor mccarthy,64,23,185,75,2,57,28,48,52,65,76,51,21,63,55,29,50,28,29,44,52,61,54,51,58,53,40,78,88,74,32,63,63,27,43,33,55,64,67,64,7,13,7,8,8,0
11486,oscar francisco garcia quintela,64,25,171,62,3,74,64,61,69,42,55,65,64,51,62,61,68,60,44,62,67,73,75,74,64,81,64,55,56,61,66,39,44,67,60,47,63,44,39,34,5,12,6,12,13,0
11487,rafal makowski,64,24,191,78,3,62,61,60,61,62,71,53,62,57,64,41,64,49,61,59,62,64,61,58,59,49,63,83,70,75,60,58,62,62,61,59,55,64,63,58,14,10,13,14,12,0
11488,james brophy,64,26,180,72,3,77,52,58,64,55,67,61,53,42,60,40,63,52,50,57,61,79,76,80,57,67,56,61,89,63,50,53,55,59,58,42,56,57,58,57,8,10,9,7,6,0
11489,oumar gonzalez,64,23,187,87,2,58,28,34,51,63,73,25,24,66,48,30,46,27,28,30,58,54,62,51,52,52,38,70,63,84,24,60,60,21,26,40,53,61,66,62,8,14,12,6,12,0
11490,leonardo miguel freijao jasper,64,25,176,72,2,44,45,55,43,68,61,57,38,69,65,22,24,30,42,57,55,52,38,59,69,75,62,57,64,61,53,59,72,35,41,50,53,68,69,56,15,15,18,15,15,0
11491,marcelo emanuel vildeia maia,64,25,172,69,2,83,62,49,69,30,54,34,59,53,61,72,72,59,49,43,62,77,88,75,63,82,65,67,65,52,61,41,38,71,46,62,59,22,23,31,12,18,17,18,14,0
11492,allison alan peixoto gomes,64,25,187,83,2,38,32,44,33,67,74,43,19,50,60,20,21,16,45,44,35,40,36,47,53,48,50,74,65,81,45,68,64,20,26,49,58,73,72,58,14,16,16,10,11,0
11493,mateus bernardo couteira machado,64,25,177,75,2,63,35,55,50,66,61,54,24,65,62,54,45,50,44,58,48,68,58,67,56,70,41,72,45,68,42,61,65,44,45,57,41,70,61,68,15,11,14,10,15,0
11494,iuliano wagner alfaro azevedo,64,33,177,72,3,56,68,53,67,27,62,57,74,57,49,63,66,50,60,43,69,62,51,64,69,73,55,70,69,62,71,51,21,62,63,57,60,14,31,33,17,12,16,18,18,0
11495,mert ornek,64,24,184,77,3,73,59,59,66,57,64,65,56,62,64,62,66,63,36,56,66,74,72,74,62,66,64,60,58,70,59,59,58,59,52,60,50,57,55,51,15,15,13,6,10,0
11496,ethan robson,64,24,178,73,2,63,58,64,63,60,64,59,55,54,66,52,62,56,60,66,64,65,62,66,63,57,65,53,72,65,58,56,59,58,65,55,60,61,60,61,7,8,15,7,12,0
11497,ignacio gil,64,25,168,63,3,78,60,61,64,40,47,58,58,30,59,51,61,66,67,57,60,80,77,77,63,82,62,34,62,37,63,55,44,64,67,59,64,40,41,35,5,8,7,14,14,0
11498,zak jules,64,24,190,72,2,73,34,54,56,63,75,54,29,63,57,22,54,49,34,56,55,74,73,63,59,52,46,67,70,82,33,66,62,51,52,38,57,63,63,61,12,15,5,10,11,0
11499,alexander sorge,64,28,192,82,2,45,28,36,39,64,71,28,26,69,52,18,29,25,24,30,46,51,40,50,57,43,42,55,59,81,23,66,62,24,27,31,51,60,66,65,11,8,9,7,8,0
11500,josh pask,64,23,187,76,2,78,29,51,54,63,68,53,21,62,59,20,51,19,26,53,56,76,80,59,54,55,51,64,58,73,26,67,62,47,48,21,58,64,63,62,10,8,14,7,14,0
11501,rivaldo vitor borba ferreira jr,64,26,186,85,3,68,63,59,62,33,67,51,64,70,61,49,61,53,58,58,64,66,70,59,62,70,64,81,64,73,63,53,27,62,64,66,65,21,37,35,7,14,9,10,12,0
11502,matija sarkic,64,23,195,76,1,0,0,0,0,0,0,11,13,18,27,13,12,18,12,22,25,40,33,33,61,28,47,47,20,39,17,20,6,6,22,26,27,11,19,14,65,62,62,63,61,37
11503,clayton lewis,64,24,173,72,2,71,59,67,67,56,68,67,56,52,66,53,65,69,70,67,65,75,67,77,62,80,63,69,70,68,63,64,58,58,68,58,63,56,55,58,15,12,11,6,13,0
11504,lee grace,64,28,189,81,2,52,26,42,53,63,73,22,25,60,59,20,52,29,25,54,55,49,55,45,63,41,35,80,67,80,22,62,61,20,32,31,64,65,64,64,13,14,6,7,6,0
11505,dylan fox,64,27,186,80,2,70,25,44,52,63,73,36,20,63,54,26,49,22,27,48,54,68,72,54,57,50,30,81,67,79,24,64,65,36,39,34,54,58,66,64,15,14,12,6,8,0
11506,yavuz aygun,64,25,193,86,1,0,0,0,0,0,0,12,8,11,27,6,12,10,10,25,16,45,48,40,54,29,44,54,30,75,9,24,14,8,25,13,60,7,14,13,65,64,59,63,65,46
11507,joao paulo santos da costa,64,25,185,80,1,0,0,0,0,0,0,13,10,10,19,12,12,13,14,26,17,18,33,31,63,48,43,57,23,58,13,19,13,10,29,16,36,14,13,14,63,62,57,63,64,24
11508,michael omoh,64,29,183,82,3,81,60,55,66,37,75,59,58,56,58,55,69,48,53,48,63,81,81,64,57,80,71,67,70,79,55,75,37,57,55,55,58,24,41,42,11,14,14,13,8,0
11509,cameron borthwick jackson,64,24,189,73,3,69,45,59,60,59,70,63,42,57,60,41,61,67,48,58,61,69,69,57,58,58,53,71,74,74,44,57,59,56,55,46,58,59,60,60,6,11,8,11,9,0
11510,gustavo ramirez,64,31,180,66,3,76,65,45,65,33,51,36,70,61,45,54,65,45,36,41,64,75,76,72,60,66,64,64,65,50,59,32,18,64,57,64,60,35,34,30,10,12,14,15,6,0
11511,valentino muller,64,22,175,69,2,70,51,62,65,58,61,54,51,53,64,44,63,58,45,68,64,72,69,74,65,78,56,72,71,55,46,61,62,58,68,44,63,55,61,56,10,10,9,14,7,0
11512,trevor clarke,64,23,175,65,3,84,52,59,66,57,65,61,49,44,61,35,66,55,48,59,64,86,82,81,51,80,60,81,66,63,55,65,54,56,56,46,58,57,62,59,8,11,10,7,8,0
11513,danilo acosta,64,23,180,77,3,70,49,62,63,60,66,61,39,58,69,49,64,60,66,58,63,69,71,67,53,63,63,67,54,70,54,70,62,59,51,61,57,55,64,62,15,6,7,12,10,0
11514,tsubasa endoh," CM""",2000,1993/8/20,170,3,0,63,57,63,67,43,49,62,55,46,68,43,68,63,37,62,65,70,57,70,60,76,64,40,60,42,60,55,47,62,61,49,64,33,50,37,15,6,7,8,12
11515,antonio alfaro,64,28,183,79,2,59,25,45,52,63,71,28,20,59,59,23,47,24,25,59,56,55,62,52,60,59,39,57,52,82,18,69,60,20,35,39,55,64,64,62,15,6,7,12,8,0
11516,neri bandiera,64,31,172,65,3,74,60,53,66,22,44,51,62,56,61,38,65,31,27,53,64,75,74,77,65,76,51,64,61,41,67,25,17,68,51,61,50,20,17,19,9,11,11,11,5,0
11517,giorgi aburjania,64,26,186,75,2,52,60,66,64,63,69,64,59,56,66,47,63,67,66,63,65,50,53,61,65,64,65,68,59,71,62,75,69,58,68,49,71,64,62,57,8,7,7,6,11,0
11518,jose hernandez,64,24,183,75,1,0,0,0,0,0,0,14,9,10,17,7,10,11,11,24,15,23,29,26,46,47,47,69,39,56,5,21,17,16,50,15,43,25,12,11,64,67,62,65,64,25
11519,jordan lawrence gabriel,64,22,181,75,2,77,32,47,60,60,63,60,27,52,51,36,63,41,31,47,54,76,78,72,56,67,36,75,66,65,29,51,59,53,34,44,50,58,64,65,12,14,7,12,13,0
11520,sebastien salles lamonge,64,25,170,67,3,65,60,65,67,46,48,64,63,47,68,61,66,59,48,65,68,61,68,63,58,88,55,52,72,36,59,46,47,62,67,56,64,40,50,53,9,14,8,7,8,0
11521,sebastien ibeagha,64,29,188,85,2,70,26,46,45,64,69,30,22,63,65,20,46,29,28,55,44,69,70,31,64,42,39,68,55,79,22,61,55,20,32,30,55,68,65,66,12,6,6,15,11,0
11522,tomoya ugajin,64,33,172,71,2,59,59,64,66,60,63,65,53,55,66,50,65,64,59,65,67,71,50,70,60,73,66,70,66,63,65,58,66,64,61,65,63,59,60,57,9,8,6,12,9,0
11523,shota kobayashi,64,30,174,70,2,64,56,66,62,52,70,70,55,54,63,43,59,68,63,62,63,62,65,70,61,71,62,77,87,68,57,50,46,55,68,45,57,46,61,56,13,10,6,6,11,0
11524,kazuki oiwa,64,31,183,78,2,58,23,50,51,64,75,62,21,55,56,20,45,28,32,50,56,57,59,56,64,55,21,77,81,79,22,58,62,45,39,31,47,66,66,63,5,13,8,12,6,0
11525,keiya shiihashi,64,24,178,70,2,58,33,57,57,61,71,49,29,56,65,37,52,32,38,62,61,72,47,69,60,67,39,70,85,68,27,59,63,53,57,37,47,60,64,58,9,12,10,7,7,0
11526,tatsuya morita,64,30,191,87,1,0,0,0,0,0,0,11,7,13,25,5,14,12,14,27,19,27,29,27,63,26,46,34,18,31,9,19,8,7,59,16,21,16,14,10,63,61,61,65,63,28
11527,yuki kobayashi,64,32,180,70,2,42,48,60,58,61,63,44,48,49,69,25,57,34,37,67,61,46,38,45,64,65,49,48,73,61,51,59,65,63,66,39,55,63,61,60,9,14,5,9,11,0
11528,carlos eduardo bendini giusti,64,28,184,84,2,58,33,44,51,62,81,40,19,64,55,30,50,32,25,48,54,38,75,35,61,47,64,50,85,91,36,60,62,28,33,34,60,60,64,61,9,6,15,13,14,0
11529,byeom yong kim," RB""",1000,1990/7/29,181,5,"Long Throw-in, Early Crosser, Long Shot Taker (AI)",78,55,61,64,45,65,71,44,65,61,62,66,72,47,52,63,79,78,72,52,63,70,64,71,68,63,51,43,54,58,53,48,45,42,41,14,6,8,13,10
11530,takuma ominami,64,23,184,76,2,87,29,37,46,62,75,28,32,58,46,24,37,23,32,42,50,81,92,58,66,55,29,85,82,76,24,63,63,22,32,41,49,58,66,62,10,10,11,7,13,0
11531,juan bautista cascini,64,24,171,68,3,61,57,60,63,60,72,58,53,62,62,58,58,39,65,61,61,54,66,76,67,80,66,56,75,69,57,79,64,56,61,58,63,57,60,58,6,5,15,14,10,0
11532,cayman togashi,64,27,178,75,2,74,62,45,63,27,66,42,63,65,52,55,62,31,27,44,63,80,69,70,59,66,64,78,64,72,58,49,14,68,43,58,53,34,21,10,7,12,14,12,12,0
11533,ignacio chicco,64,25,183,80,1,0,0,0,0,0,0,8,7,14,24,6,12,13,14,18,15,30,33,43,52,41,44,66,24,68,11,18,10,6,40,21,39,20,13,10,67,65,59,63,63,31
11534,mukhtar ali,64,23,183,68,2,63,52,60,64,57,65,35,48,38,68,42,60,59,61,68,67,64,62,72,59,63,61,56,74,62,54,63,62,53,63,47,69,64,55,50,15,9,14,10,10,0
11535,hidekazu otani,64,36,174,67,2,32,35,58,49,64,57,46,27,58,67,28,39,31,33,65,60,31,33,35,60,73,51,43,50,61,36,61,72,46,60,43,56,68,60,55,11,6,5,6,14,0
11536,keijiro ogawa," LM""",1000,1992/7/14,170,4,Speed Dribbler (AI),72,62,60,64,46,59,59,62,45,61,59,63,62,64,58,62,73,71,77,59,80,65,66,73,56,61,48,49,61,57,59,56,47,44,46,12,11,9,11,11
11537,seigo kobayashi,64,27,176,68,2,78,64,58,63,46,64,61,63,43,62,41,65,68,35,51,63,74,81,63,55,70,71,70,67,63,69,59,53,62,57,40,54,51,37,45,14,9,14,7,8,0
11538,kazuma watanabe,64,34,182,79,3,37,65,64,66,29,67,61,64,70,67,66,65,68,39,63,67,40,35,74,55,57,69,82,67,81,63,29,18,69,66,62,74,20,35,22,9,10,14,6,10,0
11539,masatoshi mihara,64,32,175,67,2,54,47,60,58,61,71,64,46,55,62,26,58,33,39,62,57,55,53,54,66,72,40,92,84,65,63,63,66,47,65,43,52,62,58,59,14,7,6,6,6,0
11540,takeshi kanamori,64,27,171,74,3,92,57,52,67,30,71,53,60,59,59,54,66,55,40,43,63,93,92,93,51,73,58,88,75,72,49,59,19,56,48,63,60,36,22,33,10,13,13,7,10,0
11541,jeong un hong,69,1994/11/29,76,2056,1,37,56,50,62,73,42,22,72,66,29,43,28,28,63,57,60,52,50,59,60,55,78,72,76,51,63,63,54,63,39,56,54,65,61,6,12,14,13,12,0,51+2
11542,han bin park,64,23,183,80,3,44,47,62,59,58,71,55,34,49,68,30,57,37,33,65,59,52,37,68,67,59,62,51,77,74,61,62,63,64,69,43,55,59,58,54,14,10,13,14,13,0
11543,luke bolton,64,21,176,72,3,81,51,59,64,59,63,65,52,52,63,32,64,61,39,52,63,82,80,75,56,72,56,84,60,61,46,65,59,58,58,56,52,59,63,53,12,6,9,11,6,0
11544,daniel cleary,64,25,182,74,2,58,36,43,50,64,69,34,33,62,59,32,48,34,31,47,50,54,62,48,58,52,50,65,65,71,30,70,63,25,27,50,52,62,66,64,5,8,9,11,6,0
11545,joaquin pereyra,64,22,181,73,2,63,55,62,64,57,67,55,47,45,69,48,63,56,51,63,66,63,63,68,64,68,64,66,72,65,65,65,52,59,62,52,55,61,62,52,8,12,10,10,7,0
11546,eijiro takeda," CDM""",1000,1988/7/11,173,2,0,66,47,63,63,61,65,69,38,45,66,32,60,47,46,62,64,69,63,70,55,72,58,65,61,66,56,68,61,63,59,42,61,63,62,63,8,5,11,11,6
11547,vladislavs gutkovskis,64,26,187,82,2,76,60,50,63,25,78,32,59,65,62,57,62,38,32,48,64,75,76,64,59,66,64,72,76,85,56,65,26,65,55,63,55,26,11,17,9,9,13,9,14,0
11548,shane mcloughlin,64,24,175,70,3,76,58,62,66,58,61,62,58,45,64,51,65,55,47,62,64,74,77,80,62,79,60,59,76,57,61,55,60,62,63,45,59,57,61,57,14,14,6,14,5,0
